"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2026","259.48","272.26","277.84","243.42","1.04B","-4.55%"
"12/01/2025","271.86","278.01","288.62","266.95","924.53M","-2.51%"
"11/01/2025","278.85","270.42","280.38","265.32","877.58M","3.14%"
"10/01/2025","270.37","255.04","277.32","244.00","1.10B","6.18%"
"09/01/2025","254.63","229.25","257.60","225.95","1.27B","9.69%"
"08/01/2025","232.14","210.87","235.12","201.50","1.22B","11.84%"
"07/01/2025","207.57","206.66","216.23","206.14","1.08B","1.17%"
"06/01/2025","205.17","200.28","207.39","195.07","1.10B","2.15%"
"05/01/2025","200.85","209.08","214.56","193.25","1.20B","-5.48%"
"04/01/2025","212.50","219.80","225.19","169.21","1.61B","-4.34%"
"03/01/2025","222.13","241.79","244.03","208.42","1.12B","-8.15%"
"02/01/2025","241.84","229.99","250.00","225.70","862.32M","2.47%"
"01/01/2025","236.00","248.93","249.10","219.38","1.20B","-5.76%"
"12/01/2024","250.42","237.27","260.10","237.16","977.94M","5.52%"
"11/01/2024","237.33","220.96","237.81","219.71","891.64M","5.06%"
"10/01/2024","225.91","229.52","237.49","221.33","930.84M","-3.04%"
"09/01/2024","233.00","228.55","233.09","213.92","1.23B","1.75%"
"08/01/2024","229.00","224.37","232.92","196.00","1.12B","3.12%"
"07/01/2024","222.08","212.09","237.23","211.92","1.15B","5.44%"
"06/01/2024","210.62","192.90","220.20","192.15","1.72B","9.56%"
"05/01/2024","192.25","169.58","193.00","169.11","1.34B","12.87%"
"04/01/2024","170.33","171.19","178.36","164.07","1.25B","-0.67%"
"03/01/2024","171.48","179.55","180.53","168.49","1.43B","-5.13%"
"02/01/2024","180.75","183.99","191.05","179.25","1.16B","-1.98%"
"01/01/2024","184.40","187.15","196.38","180.17","1.19B","-4.22%"
"12/01/2023","192.53","190.33","199.62","187.45","1.06B","1.36%"
"11/01/2023","189.95","171.00","192.93","170.12","1.10B","11.23%"
"10/01/2023","170.77","171.22","182.34","165.67","1.17B","-0.26%"
"09/01/2023","171.21","189.49","189.98","167.62","1.34B","-8.87%"
"08/01/2023","187.87","196.24","196.73","171.96","1.32B","-4.37%"
"07/01/2023","196.45","193.78","198.23","186.60","996.37M","1.28%"
"06/01/2023","193.97","177.70","194.48","176.93","1.30B","9.43%"
"05/01/2023","177.25","169.28","179.35","164.31","1.28B","4.46%"
"04/01/2023","169.68","164.27","169.85","159.78","969.78M","2.90%"
"03/01/2023","164.90","146.83","165.00","143.90","1.52B","11.86%"
"02/01/2023","147.41","143.97","157.38","141.32","1.31B","2.16%"
"01/01/2023","144.29","130.28","147.23","124.17","1.44B","11.05%"
"12/01/2022","129.93","148.21","150.92","125.87","1.68B","-12.23%"
"11/01/2022","148.03","155.08","155.45","134.38","1.72B","-3.46%"
"10/01/2022","153.34","138.21","157.50","134.37","1.87B","10.96%"
"09/01/2022","138.20","156.64","164.26","138.00","2.08B","-12.10%"
"08/01/2022","157.22","161.01","176.15","157.14","1.51B","-3.26%"
"07/01/2022","162.51","136.04","163.63","135.66","1.45B","18.86%"
"06/01/2022","136.72","149.90","151.74","129.04","1.75B","-8.14%"
"05/01/2022","148.84","156.71","166.48","132.61","2.40B","-5.59%"
"04/01/2022","157.65","174.03","178.49","155.38","1.69B","-9.71%"
"03/01/2022","174.61","164.70","179.61","150.10","2.18B","5.75%"
"02/01/2022","165.12","174.01","176.65","152.00","1.63B","-5.53%"
"01/01/2022","174.78","177.83","182.94","154.70","2.11B","-1.57%"
"12/01/2021","177.57","167.48","182.13","157.80","2.45B","7.42%"
"11/01/2021","165.30","148.99","165.70","147.48","1.69B","10.35%"
"10/01/2021","149.80","141.90","153.16","138.27","1.57B","5.87%"
"09/01/2021","141.50","152.83","157.26","141.27","1.80B","-6.80%"
"08/01/2021","151.83","146.36","153.49","144.50","1.46B","4.09%"
"07/01/2021","145.86","136.60","150.00","135.76","1.92B","6.50%"
"06/01/2021","136.96","125.08","137.41","123.13","1.61B","9.91%"
"05/01/2021","124.61","132.04","134.07","122.25","1.71B","-5.21%"
"04/01/2021","131.46","123.66","137.07","122.49","1.89B","7.62%"
"03/01/2021","122.15","123.75","128.72","116.21","2.65B","0.73%"
"02/01/2021","121.26","133.75","137.88","118.39","1.83B","-8.11%"
"01/01/2021","131.96","133.52","145.09","126.38","2.24B","-0.55%"
